А,1301
Б,1780
В,552
Г,1064
Д,810
Е,111
Ж,425
З,675
И,369
Й,4
К,2449
Л,743
М,1377
Н,501
О,843
П,1885
Р,612
С,1921
Т,1066
У,290
Ф,204
Х,299
Ц,245
Ч,737
Ш,293
Щ,162
Э,238
Ю,148
Я,226
